balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
PJM,2025-07-26,137621.0,96122.0,7328.0,4270.964534852873,24,41499.0,0.2916666666666667,1.6098036815254981,1.161015243641611,0.21392653054302538,2.9847454557101347,0.7335732096677661
PJM,2025-07-27,135324.0,93064.0,6978.0,4066.8106258672374,24,42260.0,0.2916666666666667,1.4798436121298129,0.9048255609020323,0.21392653054302538,2.5985957035748704,0.6954623372034409
PJM,2025-07-28,152155.0,97486.0,6940.0,4268.422900553672,24,54669.0,0.20833333333333334,2.43211088596472,0.8770106810617352,-0.4227853848763688,2.8863361821500866,0.7238607516039832
PJM,2025-07-29,154380.0,100553.0,8757.0,5085.816021729852,24,53827.0,0.2916666666666667,2.5579973267158738,2.207001119741206,0.21392653054302538,4.978924977000105,0.9303878417803074
PJM,2025-07-30,151026.0,103742.0,7791.0,4745.090927031546,24,47284.0,0.3333333333333333,2.368234125691438,1.4999175953799682,0.5322824882527222,4.400434209324128,0.8732939611115301
PJM,2025-07-31,146378.0,102725.0,8149.0,4074.612669419893,24,43653.0,0.08333333333333333,2.1052587654166683,1.7619630422964516,-1.37785325800546,2.48936854970766,0.6846822134103888
PJM,2025-08-01,118043.0,86772.0,5602.0,2677.1653879603236,24,31271.0,0.08333333333333333,0.5021161592665823,-0.10236587752556893,-1.37785325800546,-0.9781029762644468,0.34246170344172844
PJM,2025-08-02,103375.0,77242.0,4679.0,2568.729816028463,24,26133.0,0.25,-0.3277725207055181,-0.7779746694359438,-0.10442942716667182,-1.2101766173081339,0.31955730200875954
PJM,2025-08-03,109779.0,73995.0,5027.0,3134.1961590503233,24,35784.0,0.125,0.03455411595533073,-0.5232489277405913,-1.059497300295763,-1.5481921120810236,0.28619701797122654
PJM,2025-08-04,125334.0,79609.0,5919.0,3465.036214964354,24,45725.0,0.16666666666666666,0.914627637701037,0.12966877798427817,-0.741141342586066,0.30315507309924916,0.46891487826102835
PJM,2025-08-05,124851.0,84457.0,7548.0,3923.922723019897,24,40394.0,0.25,0.8873003788773034,1.3220487585064893,-0.10442942716667182,2.104919710217121,0.6467392117384639
PJM,2025-08-06,121152.0,86963.0,6723.0,3453.5550461114326,24,34189.0,0.3333333333333333,0.6780177072644865,0.7181730777631963,0.5322824882527222,1.9284732732804049,0.6293249116704316
PJM,2025-08-07,128586.0,85608.0,6050.0,3626.0825847230626,24,42978.0,0.20833333333333334,1.0986198648123862,0.22555691638109193,-0.4227853848763688,0.9013913963171094,0.5279575374667147
PJM,2025-08-08,130363.0,87082.0,6669.0,3875.546656158067,24,43281.0,0.20833333333333334,1.1991592828864537,0.6786466695690899,-0.4227853848763688,1.455020567579175,0.5825977142940398
PJM,2025-08-09,126845.0,83774.0,6877.0,4168.5314792910685,24,43071.0,0.20833333333333334,1.0001172610605846,0.830896538168611,-0.4227853848763688,1.408228414352827,0.5779795842186491
PJM,2025-08-10,130661.0,82046.0,6754.0,4417.4315376124105,24,48615.0,0.16666666666666666,1.2160195792207655,0.7408641639487019,-0.741141342586066,1.2157424005834014,0.5589822654805985
PJM,2025-08-11,143422.0,89072.0,7615.0,4471.717284334341,24,54350.0,0.16666666666666666,1.9380136782883939,1.3710907834880657,-0.741141342586066,2.5679631191903933,0.6924390683543117
PJM,2025-08-12,146576.0,93994.0,9183.0,4923.527065661805,24,52582.0,0.20833333333333334,2.1164612441891304,2.5188205621613786,-0.4227853848763688,4.21249642147414,0.854745527442021
PJM,2025-08-13,140553.0,96820.0,8532.0,4554.023696258832,24,43733.0,0.3333333333333333,1.7756908924389287,2.042307752265762,0.5322824882527222,4.350281132957413,0.8683441262701603
PJM,2025-08-14,140764.0,93115.0,7983.0,4325.746258815024,24,47649.0,0.25,1.7876288874944313,1.64045593562568,-0.10442942716667182,3.3236553959534394,0.767021770590266
